tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1996-615,Dusseldorf,Clay,32,A,19960520,15,101434,,,Petr Korda,L,190,CZE,28.3,101774,,,Todd Martin,R,198,USA,25.8,6-3 3-6 6-2,3,RR,103,2,5,80,59,43,9,13,6,8,0,2,85,53,35,16,13,7,11,36,973,18,1345
1984-520,Roland Garros,Clay,128,G,19840528,96,100656,2,,Ivan Lendl,R,188,USA,24.2,100769,,,Mario Martinez,R,170,BOL,22.6,6-1 6-0 6-1,5,R64,,,,,,,,,,,,,,,,,,,,2,,73,
1979-416,Rome,Clay,64,M,19790521,267,100232,4,,Eddie Dibbs,R,170,USA,28.2,100383,,,Peter Mcnamara,R,185,AUS,23.8,6-4 7-5,3,R64,,,,,,,,,,,,,,,,,,,,8,,60,
1974-2034,Palm Desert WCT,Hard,32,A,19740331,31,100029,,,Rod Laver,L,173,AUS,35.6,100255,,,Roscoe Tanner,L,183,USA,22.4,6-4 6-2,3,F,,,,,,,,,,,,,,,,,,,,9,,26,
1977-319,Kitzbuhel,Clay,32,A,19770711,24,100434,,,Tomas Smid,R,190,CZE,21.1,100174,2,,Manuel Orantes,L,178,ESP,28.4,7-5 7-5,3,R16,,,,,,,,,,,,,,,,,,,,89,,6,
1995-741,Nottingham,Grass,32,A,19950619,6,101150,,,Gianluca Pozzi,L,180,ITA,30.0,101890,,,Jonathan Stark,R,188,USA,24.2,6-7(5) 7-6(0) 6-4,3,R32,129,4,7,126,68,56,29,17,5,6,15,10,104,66,56,14,17,3,5,91,483,70,609
1993-402,Memphis,Hard,64,A,19930208,10,101774,,,Todd Martin,R,198,USA,22.5,101932,,LL,Jared Palmer,R,190,USA,21.6,6-4 6-4,3,R64,77,5,0,59,38,25,13,10,2,4,2,0,58,39,26,6,10,3,7,96,440,154,277
2005-741,Nottingham,Grass,32,A,20050613,19,102202,,,Kenneth Carlsen,L,190,DEN,32.1,103103,3,,Dominik Hrbaty,R,183,SVK,27.4,6-4 6-4,3,R16,65,5,0,52,35,28,12,10,0,0,3,0,57,29,22,16,10,1,3,52,705,24,1246
2017-0316,Bastad,Clay,32,A,20170717,276,104460,,,Dustin Brown,R,196,GER,32.6,105064,,,Thomaz Bellucci,L,188,BRA,29.5,6-4 6-3,3,R32,71,0,1,61,37,26,12,10,1,3,3,3,52,29,17,12,9,3,7,93,560,65,702
1995-419,Indianapolis,Hard,56,A,19950814,18,101543,,,Jeff Tarango,L,180,USA,26.7,101515,,Q,Donald Johnson,L,190,USA,26.9,6-2 6-4,3,R64,76,4,4,60,31,24,15,9,5,6,5,9,64,36,23,11,9,9,13,62,665,279,121
1981-254,Johannesburg,Hard,32,A,19810406,18,201470,,,Tian C Viljoen,R,191,RSA,19.9,107078,,,George Rudman,R,,RSA,31.5,6-4 7-5,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2021-9428,Murray River Open,Hard,64,A,20210201,274,200000,3,,Felix Auger Aliassime,R,193,CAN,20.4,105216,,,Yuichi Sugita,R,173,JPN,32.3,6-3 6-1,3,R32,65,12,2,49,31,27,9,8,3,3,2,2,46,25,15,9,8,2,6,21,2241,104,721
1974-2018,Hempstead WCT,Hard,32,A,19740218,11,100251,,,Grover Raz Reid,R,,USA,22.4,100141,,,Zeljko Franulovic,R,,CRO,26.6,7-6(6) 6-1,3,R32,,,,,,,,,,,,,,,,,,,,212,,70,
1973-583,Manchester,Grass,64,A,19730604,253,209681,,,John Anthony Southworth,U,,GBR,,211305,,,C R Evans,U,,GBR,,6-0 6-0,3,R64,,,,,,,,,,,,,,,,,,,,,,,
1974-7310,Beckenham,Grass,128,A,19740610,297,100321,,,Vijay Amritraj,R,193,IND,20.4,100354,,,Bernard Mitton,R,188,RSA,19.5,6-2 6-1,3,QF,,,,,,,,,,,,,,,,,,,,24,0,129,0
1996-322,Zagreb,Carpet,32,A,19960129,20,101391,,,Carl Uwe Steeb,L,180,GER,28.4,210013,,,Martin Damm Sr,R,188,CZE,23.4,2-6 6-4 7-6(7),3,R16,136,1,1,54,32,24,8,9,2,5,5,0,57,36,26,9,9,7,9,83,562,,
2002-421,Canada Masters,Hard,64,M,20020729,12,103900,15,,David Nalbandian,R,180,ARG,20.5,102642,,Q,Cyril Saulnier,R,190,FRA,26.9,6-4 6-3,3,R64,94,6,3,68,40,27,15,9,7,8,12,4,86,41,30,17,10,17,21,14,1626,156,243
1996-475,San Marino,Clay,32,A,19960805,3,102437,,,Adrian Voinea,R,185,ROU,21.9,102831,,Q,Jacobo Diaz,R,173,ESP,20.0,4-6 6-3 6-4,3,R32,116,2,3,82,45,33,17,15,1,6,1,1,81,74,39,2,14,1,7,65,730,164,240
2002-410,Monte Carlo Masters,Clay,64,M,20020415,21,103566,,WC,Michael Llodra,L,190,FRA,21.9,102839,16,,Nicolas Lapentti,R,188,ECU,25.6,7-6(6) 6-2,3,R64,92,4,6,71,34,25,18,10,3,5,2,3,69,42,29,9,10,4,8,112,368,21,1360
1993-520,Roland Garros,Clay,128,G,19930524,56,101529,9,,Michael Stich,R,193,GER,24.5,101409,,,Jaime Yzaga,R,170,PER,25.5,7-6(5) 6-2 6-1,5,R128,128,8,3,98,58,48,21,13,5,5,1,2,101,61,33,22,14,7,12,10,1923,55,672
1993-496,Marseille,Carpet,32,A,19930201,16,101843,2,,Sergi Bruguera,R,188,ESP,22.0,210013,,,Martin Damm Sr,R,188,CZE,20.5,3-6 6-3 7-5,3,R32,112,12,1,78,47,36,21,15,4,6,16,6,98,49,38,23,15,5,8,16,1383,,
2004-D035,Davis Cup G1 R2: THA vs UZB,Hard,4,D,20040409,1,103821,,,Danai Udomchoke,R,173,THA,22.6,102957,,,Vadim Kutsenko,R,180,RUS,27.0,7-6(4) 6-4 6-3,5,RR,,,,,,,,,,,,,,,,,,,,158,252,366,85
1997-D004,Davis Cup WG QF: AUS vs CZE,Grass,4,D,19970404,1,102158,,,Patrick Rafter,R,185,AUS,24.2,210013,,,Martin Damm Sr,R,188,CZE,24.6,6-1 7-6(7) 4-6 6-4,5,RR,,,,,,,,,,,,,,,,,,,,43,949,,
1968-316,Bastad 1,Clay,32,A,19680708,271,109821,,,Jorgen Ulrich,R,,DEN,32.8,117334,,,Jozef Orlikowski,U,,POL,33.8,3-6 6-1 6-2 1-6 6-2,5,R32,,,,,,,,,,,,,,,,,,,,,,,
2003-520,Roland Garros,Clay,128,G,20030526,15,102934,,Q,Nicolas Coutelot,R,185,FRA,26.2,102106,,,Davide Sanguinetti,R,188,ITA,30.7,6-3 6-3 6-4,5,R128,94,3,8,78,49,44,13,14,1,2,5,5,96,55,36,18,14,6,11,208,165,86,488
1974-331,Melbourne,Clay,32,A,19741021,276,100219,,,Geoff Masters,R,,AUS,24.0,100225,,,Peter Doerner,R,,AUS,23.9,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,,48,,,
1969-422,Cincinnati,Clay,96,M,19690714,256,109749,14,,Pancho Guzman,R,,ECU,23.1,100138,,,Dan Bleckinger,R,,USA,22.1,6-8 7-5 6-3,3,R64,,,,,,,,,,,,,,,,,,,,,,,
2017-7581,Chengdu,Hard,32,A,20170925,297,105550,,,Guido Pella,L,185,ARG,27.3,126203,,Q,Taylor Fritz,R,193,USA,19.9,6-3 7-6(3),3,QF,101,5,2,73,49,35,13,10,5,6,9,3,86,56,40,10,11,7,10,72,712,94,554
1993-416,Rome Masters,Clay,64,M,19930510,60,101793,2,,Jim Courier,R,185,USA,22.7,101843,7,,Sergi Bruguera,R,188,ESP,22.3,6-3 6-4,3,QF,100,2,2,63,32,26,18,10,2,2,4,1,66,45,29,12,9,6,8,2,3517,11,1837
1993-424,San Francisco,Hard,32,A,19930201,14,101348,,Q,Dave Randall,R,183,USA,25.7,101735,,,Richard Fromberg,R,196,AUS,22.7,6-4 7-6(3),3,R32,89,4,2,73,38,29,20,11,5,7,5,6,73,38,28,16,11,4,7,258,114,66,583
2001-540,Wimbledon,Grass,128,G,20010625,44,102148,20,,Fabrice Santoro,R,178,FRA,28.5,103151,,,Mariano Zabaleta,R,183,ARG,23.3,7-5 6-1 6-3,5,R128,106,1,1,90,51,35,24,14,9,11,6,4,95,55,33,16,14,3,10,25,1135,106,412
1980-580,Australian Open,Grass,64,G,19801226,4,100395,11,,Victor Pecci,R,193,PAR,25.1,100346,,,Paul Kronk,R,,AUS,26.2,7-6 6-7 6-3 5-7 6-4,5,R64,,,,,,,,,,,,,,,,,,,,31,,92,
1973-316,Bastad,Clay,32,A,19730709,22,100047,,,Bob Carmichael,R,183,AUS,33.0,100037,,,Nikola Pilic,L,191,CRO,33.8,4-6 6-3 7-0 RET,3,R16,,,,,,,,,,,,,,,,,,,,,,,
2022-0404,Indian Wells Masters,Hard,128,M,20220307,267,207989,19,,Carlos Alcaraz,R,185,ESP,18.8,111456,,,Mackenzie Mcdonald,R,178,USA,26.8,6-3 6-3,3,R64,95,0,3,57,33,21,14,9,4,6,1,4,63,40,20,11,9,4,9,19,2056,59,976
1977-328,Basel,Carpet,32,A,19771025,10,100292,,,Alvaro Fillol,R,178,CHI,24.8,100248,,,Max Hurlimann,R,,SUI,26.2,6-1 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,,,
1982-419,Indianapolis,Clay,64,A,19820803,61,101061,10,,Jimmy Arias,R,175,USA,17.9,100821,,,Hans Simonsson,R,178,SWE,20.2,7-6 2-6 6-0,3,SF,,,,,,,,,,,,,,,,,,,,39,,,
2003-D040,Davis Cup G1 R2: ECU vs VEN,Clay,4,D,20030404,4,102839,,,Nicolas Lapentti,R,188,ECU,26.6,103739,,,Jose De Armas,R,,VEN,22.0,3-6 6-4 6-3 6-3,5,RR,,,,,,,,,,,,,,,,,,,,43,870,246,126
2000-402,Memphis,Hard,48,A,20000214,14,102821,,,Cecil Mamiit,R,173,PHI,23.6,101263,,WC,Luke Jensen,A,190,USA,33.6,7-5 6-2,3,R64,63,7,3,49,28,22,13,10,0,2,1,5,64,36,22,10,10,1,6,135,283,,
2013-500,Halle,Grass,28,A,20130610,4,105208,,,Ernests Gulbis,R,190,LAT,24.7,104571,,,Marcos Baghdatis,R,183,CYP,27.9,6-4 3-6 6-3,3,R32,99,9,4,78,49,40,19,14,6,7,2,8,75,32,24,29,14,3,5,38,1026,40,995
2001-520,Roland Garros,Clay,128,G,20010528,105,102869,,,Galo Blanco,R,173,ESP,24.6,102694,,,Lars Burgsmuller,R,183,GER,25.4,7-5 6-2 6-3,5,R32,114,4,1,70,41,32,20,14,1,3,2,4,92,49,30,21,15,4,11,76,534,92,469
2024-9158,Cordoba,Clay,32,A,20240205,276,208882,,Q,Roman Andres Burruchaga,U,,ARG,22.0,106043,,,Diego Schwartzman,R,170,ARG,31.4,6-1 4-6 6-4,3,R32,138,0,4,99,65,43,14,14,2,6,2,6,75,49,28,9,13,4,10,170,359,117,538
2021-0404,Indian Wells Masters,Hard,128,M,20211004,292,128034,8,,Hubert Hurkacz,R,196,POL,24.6,106234,19,,Aslan Karatsev,R,185,RUS,28.0,6-1 6-3,3,R16,63,6,0,44,31,22,9,8,1,2,1,5,51,32,17,5,8,4,9,12,3333,24,2085
1983-425,Barcelona,Clay,64,A,19831003,24,100282,3,,Guillermo Vilas,L,180,ARG,31.1,100374,,,Javier Soler,L,,ESP,28.5,6-2 6-4,3,R64,,,,,,,,,,,,,,,,,,,,10,,,
1979-520,Roland Garros,Clay,128,G,19790528,255,100214,16,,Adriano Panatta,R,183,ITA,28.8,100113,,,Jan Kodes,R,175,CZE,33.2,6-1 6-2 6-4,5,R64,,,,,,,,,,,,,,,,,,,,19,,69,
2020-8996,Santiago,Clay,32,A,20200224,297,205734,,WC,Thiago Seyboth Wild,R,185,BRA,19.9,106426,1,,Cristian Garin,R,185,CHI,23.7,7-6(1) 0-0 RET,3,QF,62,3,2,38,24,17,7,6,2,4,3,4,57,39,23,6,6,1,3,182,277,18,2005
1988-416,Rome,Clay,64,M,19880509,42,101004,,,Jim Pugh,R,193,USA,24.2,101026,,LL,Jim Grabb,R,193,USA,24.0,6-1 4-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,51,,57,
1985-406,Brussels,Carpet,32,A,19850311,30,100757,2,,Anders Jarryd,R,180,SWE,23.6,101222,5,,Stefan Edberg,R,188,SWE,19.1,7-6 3-6 6-3,3,SF,,,,,,,,,,,,,,,,,,,,6,,10,
2012-505,Santiago,Clay,28,A,20120130,14,103656,5,,Albert Montanes,R,175,ESP,31.1,104297,,Q,Rogerio Dutra Silva,R,178,BRA,27.9,7-5 6-2,3,R16,94,2,2,63,37,29,14,10,1,2,1,1,68,47,30,7,10,4,8,53,860,124,483
2021-7480,Los Cabos,Hard,32,A,20210719,287,106109,,,Alex Bolt,L,183,AUS,28.5,105877,,,Emilio Gomez,R,185,ECU,29.6,6-3 6-1,3,R16,65,4,1,44,28,24,10,8,2,2,1,2,52,31,24,4,8,2,6,148,519,168,445
2011-6120,Nice,Clay,28,A,20110515,20,104607,2,,Tomas Berdych,R,196,CZE,25.6,105173,,,Adrian Mannarino,L,183,FRA,22.8,6-1 6-4,3,R16,64,3,2,49,35,28,10,9,1,1,2,2,47,29,18,8,8,2,5,6,4215,53,913
1990-434,Seoul,Hard,32,A,19900416,23,101233,,,Alex Antonitsch,R,188,AUT,24.1,100618,,,Leif Shiras,R,183,USA,30.6,6-1 6-0,3,R16,,,,,,,,,,,,,,,,,,,,80,310,109,254
2011-418,Washington,Hard,48,A,20110731,8,103484,,,James Blake,R,185,USA,31.5,105147,,,Tatsuma Ito,R,180,JPN,23.2,6-3 6-3,3,R64,57,3,1,55,34,25,14,9,5,6,1,3,56,29,15,13,9,1,5,90,584,102,522
1979-3934,WCT Challenge Cup,Carpet,8,A,19791204,3,100437,,,Bjorn Borg,R,180,SWE,23.4,100417,,,Hans Gildemeister,R,183,CHI,23.8,6-2 6-2,3,RR,,,,,,,,,,,,,,,,,,,,1,,14,
1999-315,Newport,Grass,32,A,19990705,20,101924,,,Stefano Pescosolido,R,185,ITA,28.0,103018,,,Max Mirnyi,R,196,BLR,21.9,7-6(5) 6-3,3,R16,74,7,5,66,34,30,22,11,2,2,9,4,60,32,28,18,11,2,3,207,197,136,346
1976-336,Hong Kong,Hard,48,A,19761107,300,100016,4,,Ken Rosewall,R,175,AUS,42.0,100119,1,,Ilie Nastase,R,183,ROU,30.3,1-6 6-4 7-6 6-0,5,F,,,,,,,,,,,,,,,,,,,,,,,
2022-0407,Rotterdam,Hard,32,A,20220207,283,200282,,,Alex De Minaur,R,183,AUS,22.9,105676,,,David Goffin,R,180,BEL,31.1,6-0 6-3,3,R32,73,2,2,61,32,22,16,8,6,7,5,2,40,20,12,4,7,3,8,34,1486,47,1156
2001-D030,Davis Cup G2 QF: HKG vs IRI,Hard,4,D,20010209,2,108593,,,Wing Luen Wong,U,,HKG,19.8,108596,,,Ramin Raziyani,R,,IRI,26.8,6-2 7-6(6) 6-7(2) 6-2,5,RR,,,,,,,,,,,,,,,,,,,,,,,
2005-402,Memphis,Hard,32,A,20050214,26,102202,,,Kenneth Carlsen,L,190,DEN,31.8,102998,,,Jan Michael Gambill,R,190,USA,27.7,7-6(7) 7-5,3,QF,95,8,3,78,49,41,15,12,3,3,14,2,70,45,35,16,12,0,1,87,468,114,395
1975-560,US Open,Clay,128,G,19750827,95,100229,,,Dick Stockton,R,188,USA,24.5,100428,,,Gene Mayer,R,183,USA,19.3,6-4 6-4,5,R64,,,,,,,,,,,,,,,,,,,,16,,,
1980-310,Florence,Clay,32,A,19800512,13,100271,7,,Jean Francois Caujolle,L,,FRA,28.1,100622,,,Patrizio Parrini,R,,ITA,20.6,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,,68,,,
1968-D013,Davis Cup EUR R1: ROU vs DEN,Clay,4,D,19680428,1,100119,,,Ilie Nastase,R,183,ROU,21.7,100011,,,Torben Ulrich,L,180,DEN,39.5,6-4 6-4 6-2,5,RR,,,,,,,,,,,,,,,,,,,,,,,
1984-424,San Francisco,Carpet,32,A,19840917,287,100276,,,Terry Moor,L,178,USA,32.4,100606,,,Mike Bauer,R,188,USA,25.2,6-4 6-3,3,R16,,,,,,,,,,,,,,,,,,,,56,,39,
2007-433,Las Vegas,Hard,32,A,20070226,518,104154,,Q,Paul Capdeville,R,190,CHI,23.9,103566,,,Michael Llodra,L,190,FRA,26.7,6-2 2-6 6-1,3,RR,83,4,4,72,38,26,20,11,1,3,1,0,79,57,31,13,12,9,14,159,269,79,495
1995-410,Monte Carlo Masters,Clay,56,M,19950424,15,102148,,,Fabrice Santoro,R,178,FRA,22.3,101222,12,,Stefan Edberg,R,188,SWE,29.2,6-3 6-1,3,R64,62,0,1,47,33,25,8,8,0,1,2,2,47,25,14,7,8,1,6,45,853,17,1644
1975-310,Florence,Clay,32,A,19750510,293,100214,1,,Adriano Panatta,R,183,ITA,24.8,107001,,,Fernando Gentil,R,,BRA,25.1,6-3 6-2,3,R16,,,,,,,,,,,,,,,,,,,,44,,333,
1976-337,Vienna,Hard,32,A,19761025,23,100332,,,Balazs Taroczy,R,183,HUN,22.4,100128,8,,Cliff Richey,R,175,USA,29.8,6-1 1-6 6-3,3,R16,,,,,,,,,,,,,,,,,,,,,,,
1973-355,Salisbury,Hard,64,A,19730219,34,100179,,,Karl Meiler,R,178,GER,23.8,100173,,,Andrew Pattison,R,188,USA,24.0,7-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,,,,,
2018-M004,Acapulco,Hard,32,A,20180226,271,105376,,,Peter Gojowczyk,R,185,GER,28.6,106412,,WC,Lucas Gomez,U,178,MEX,22.5,6-3 6-2,3,R32,68,8,6,59,30,27,13,9,6,7,1,1,52,40,19,5,8,2,6,51,971,828,19
2003-D034,Davis Cup WG QF: SWE vs AUS,Hard,4,D,20030404,2,103720,,,Lleyton Hewitt,R,180,AUS,22.0,102358,,,Thomas Enqvist,R,190,SWE,29.0,6-4 6-2 5-7 6-4,5,RR,,,,,,,,,,,,,,,,,,,,1,4410,86,455
1986-418,Washington,Clay,56,A,19860728,49,100653,1,,Andres Gomez,L,193,ECU,26.4,101381,9,,Aaron Krickstein,R,183,USA,18.9,6-4 6-1,3,QF,,,,,,,,,,,,,,,,,,,,10,,39,
1978-314,Gstaad,Clay,32,A,19780710,22,100265,,,Cliff Letcher,R,,AUS,26.4,100377,,,Colin Dowdeswell,R,185,GBR,23.1,6-4 6-2,3,R16,,,,,,,,,,,,,,,,,,,,64,0,71,0
1969-424,Berkeley,Hard,64,A,19690929,293,100126,,,Stan Smith,R,193,USA,22.7,100047,,,Bob Carmichael,R,183,AUS,29.2,6-4 6-4,3,QF,,,,,,,,,,,,,,,,,,,,,,,
2001-418,Washington,Hard,56,A,20010813,55,104053,9,,Andy Roddick,R,188,USA,18.9,102854,10,,Sjeng Schalken,R,193,NED,24.9,6-2 6-3,3,F,77,9,0,58,35,28,10,9,3,4,3,1,56,36,19,8,8,2,6,30,1152,33,1103
2003-407,Rotterdam,Hard,32,A,20030217,29,103171,,WC,Raemon Sluiter,R,185,NED,24.8,103206,6,,Sebastien Grosjean,R,175,FRA,24.7,6-3 6-3,3,SF,63,8,2,51,33,26,7,9,3,5,2,0,48,26,12,10,9,5,10,72,573,12,1840
1980-333,Taipei,Carpet,32,A,19801110,18,100281,,,Sashi Menon,R,180,IND,28.2,100257,,,Ross Case,R,,AUS,29.0,1-6 6-0 6-2,3,R16,,,,,,,,,,,,,,,,,,,,,,,
1998-D013,Davis Cup G2 R1: BLR vs LUX,Carpet,4,D,19980501,1,103018,,,Max Mirnyi,R,196,BLR,20.8,101203,,,Adrian Graimprey,R,,LUX,32.4,7-5 6-4 6-4,5,RR,,,,,,,,,,,,,,,,,,,,396,83,960,7
1968-9301,Tulsa WCT,Carpet,8,A,19680227,294,100087,,,John Newcombe,R,183,AUS,23.7,100058,,,Roger Taylor,L,183,GBR,26.3,31-30 31-18,3,RR,,,,,,,,,,,,,,,,,,,,,,,
1994-560,US Open,Hard,128,G,19940829,78,102088,,,Joern Renzenbrink,R,196,GER,22.1,102223,,,Karim Alami,R,185,MAR,21.2,6-3 6-4 6-7(7) 6-3,5,R64,,16,4,135,88,77,28,21,1,2,11,3,134,85,63,27,19,5,9,85,542,104,460
1981-615,Nations Cup,Clay,16,A,19810504,25,100383,,,Peter Mcnamara,R,185,AUS,25.8,100297,,,Corrado Barazzutti,R,178,ITA,28.2,6-3 6-0,3,RR,,,,,,,,,,,,,,,,,,,,20,,31,
1986-540,Wimbledon,Grass,128,G,19860623,32,100893,6,,Joakim Nystrom,R,188,SWE,23.3,100772,,,Kelly Evernden,R,175,NZL,24.7,7-5 6-3 3-6 4-6 6-3,5,R128,,,,,,,,,,,,,,,,,,,,8,,108,
1987-304,Nancy,Carpet,32,A,19870323,18,101026,8,,Jim Grabb,R,193,USA,22.9,101029,,,Ricki Osterthun,R,185,GER,22.8,4-6 6-3 4-1 RET,3,R16,,,,,,,,,,,,,,,,,,,,62,,107,
1978-321,Stuttgart Outdoor,Clay,32,A,19780717,12,100221,,,Carlos Kirmayr,R,173,BRA,27.8,100130,,,Vladimir Zednik,R,,CZE,31.4,6-2 7-6,3,R32,,,,,,,,,,,,,,,,,,,,99,,43,
1981-315,Newport,Grass,32,A,19810706,292,100631,,,Tim Wilkison,L,180,USA,21.6,100446,3,,John Sadri,R,188,USA,24.7,7-6 6-4,3,R16,,,,,,,,,,,,,,,,,,,,76,,21,
2004-403,Miami Masters,Hard,96,M,20040322,72,103017,,,Nicolas Kiefer,R,183,GER,26.7,104068,,,Robby Ginepri,R,183,USA,21.4,7-6(3) 3-6 6-4,3,R32,123,8,3,89,56,43,17,15,5,8,5,1,89,61,43,14,16,2,5,44,861,35,970
1973-508,Gothenberg WCT,Carpet,32,A,19730423,22,100244,6,,John Alexander,R,190,AUS,21.8,100054,,,Jose Edison Mandarino,R,173,BRA,32.0,6-2 5-7 6-4,3,R16,,,,,,,,,,,,,,,,,,,,,,,
1995-403,Miami Masters,Hard,96,M,19950313,60,101889,,,Todd Woodbridge,R,178,AUS,23.9,101774,9,,Todd Martin,R,198,USA,24.6,6-2 7-6(8),3,R64,90,4,5,63,34,28,20,10,0,0,3,3,74,37,26,19,10,3,5,93,502,13,1974
1992-D076,Davis Cup WG SF: USA vs SWE,Clay,4,D,19920925,1,101793,,,Jim Courier,R,185,USA,22.0,101900,,,Nicklas Kulti,R,190,SWE,21.4,4-6 7-6(1) 6-3 7-5,5,RR,,,,,,,,,,,,,,,,,,,,2,3574,71,528
2022-580,Australian Open,Hard,128,G,20220117,206,126203,20,,Taylor Fritz,R,193,USA,24.2,105138,15,,Roberto Bautista Agut,R,183,ESP,33.7,6-0 3-6 3-6 6-4 6-3,5,R32,194,19,6,122,66,49,23,22,6,13,10,6,143,94,53,21,21,9,19,22,2175,18,2385
2022-0421,Canada Masters,Hard,64,M,20220808,292,128034,8,,Hubert Hurkacz,R,196,POL,25.4,105077,,,Albert Ramos,L,188,ESP,34.5,6-7(6) 6-2 7-6(3),3,R16,145,23,5,108,66,51,19,16,3,5,1,1,88,51,37,18,16,0,4,10,3015,43,1005
2008-421,Canada Masters,Hard,56,M,20080721,21,104755,10,,Richard Gasquet,R,185,FRA,22.0,103566,,,Michael Llodra,L,190,FRA,28.1,6-2 4-6 6-3,3,R64,105,7,1,79,45,32,21,13,3,5,8,5,84,49,31,19,14,4,9,12,1445,36,921
1987-580,Australian Open,Grass,96,G,19870112,91,101222,4,,Stefan Edberg,R,188,SWE,20.9,101036,6,,Miloslav Mecir,R,190,SVK,22.6,6-1 6-4 6-4,5,QF,,,,,,,,,,,,,,,,,,,,5,,9,
1979-417,Boston,Clay,64,A,19790820,259,100474,11,,Chris Lewis,R,180,NZL,22.4,100135,,,Onny Parun,R,188,NZL,32.3,7-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,,70,,,
1969-D008,Davis Cup EUR SF: GBR vs BRA,Grass,4,D,19690731,1,100106,,,Graham Stilwell,R,173,GBR,23.7,100054,,,Jose Edison Mandarino,R,173,BRA,28.3,6-3 8-6 8-6,5,RR,,,,,,,,,,,,,,,,,,,,,,,
1972-317,Hilversum,Hard,64,A,19720801,289,100146,,,Jun Kamiwazumi,R,,JPN,24.8,107275,,,Jan Hordijk,R,,NED,22.4,6-3 6-3,3,R16,,,,,,,,,,,,,,,,,,,,,,,
1974-350,Nottingham,Grass,64,A,19740617,44,100174,7,,Manuel Orantes,L,178,ESP,25.3,100160,,,Georges Goven,R,173,FRA,26.1,3-6 9-7 6-3,3,R32,,,,,,,,,,,,,,,,,,,,12,0,69,0
2002-319,Kitzbuhel,Clay,48,A,20020722,28,102318,4,,Andrei Pavel,R,183,ROU,28.4,101897,,,Fernando Meligeni,L,180,BRA,31.2,6-4 6-2,3,R32,66,3,1,54,29,25,12,9,4,5,3,2,48,25,15,11,9,1,5,18,1535,63,637
1974-1603,St. Petersburg WCT,Hard,32,A,19740204,30,100092,,,Alex Metreveli,R,,RUS,29.2,100309,7,,Raul Ramirez,R,183,MEX,20.6,5-7 6-3 6-2,3,SF,,,,,,,,,,,,,,,,,,,,34,,26,
1996-580,Australian Open,Hard,128,G,19960115,31,102374,,,Alex Corretja,R,180,ESP,21.7,101767,,LL,Lars Jonsson,R,188,SWE,25.5,6-3 6-3 6-0,5,R128,,11,2,85,59,48,14,12,2,3,1,0,78,52,28,9,12,6,13,51,757,176,228
1991-540,Wimbledon,Grass,128,G,19910624,7,101776,,Q,Sandon Stolle,R,193,AUS,20.9,101256,,Q,Mark Kratzmann,L,178,AUS,25.1,6-7(1) 6-3 6-7(4) 7-6(7) 6-4,5,R128,268,9,17,220,132,101,41,28,14,16,4,4,207,130,92,42,27,11,15,202,137,160,187
1992-319,Kitzbuhel,Clay,48,A,19920720,16,102001,,,German Lopez,R,193,ESP,20.5,102374,,,Alex Corretja,R,180,ESP,18.2,6-7(4) 6-3 6-2,3,R64,141,12,6,103,52,44,25,15,5,6,3,2,93,50,35,20,14,5,9,104,391,106,370
1974-2034,Palm Desert WCT,Hard,32,A,19740331,16,100255,,,Roscoe Tanner,L,183,USA,22.4,100437,2,,Bjorn Borg,R,180,SWE,17.8,5-7 6-3 7-5,3,R32,,,,,,,,,,,,,,,,,,,,26,,16,
2006-423,Los Angeles,Hard,32,A,20060724,12,104068,4,,Robby Ginepri,R,183,USA,23.7,102925,,,Justin Gimelstob,R,196,USA,29.4,6-4 6-4,3,R32,78,3,2,54,32,24,15,10,3,4,6,1,67,34,23,16,10,7,10,20,1370,85,493
2001-439,Umag,Clay,32,A,20010716,24,102437,,,Adrian Voinea,R,185,ROU,26.9,102287,2,,Albert Portas,R,188,ESP,27.6,7-6(1) 0-6 6-4,3,R16,117,5,5,94,48,35,17,14,9,15,10,4,104,49,32,26,14,7,11,107,403,26,1140
1976-661,Dusseldorf,Clay,64,A,19760522,43,100115,4,,Jaime Fillol,R,180,CHI,29.9,100280,,,Wojtek Fibak,R,183,POL,23.8,6-4 7-5,3,QF,,,,,,,,,,,,,,,,,,,,,,,
